,urls,address,price_per_month,price_per_week,let_available_date,deposit,min_tenancy,furnish_type,let_type,house_type,bedrooms,bathrooms,description,dimensions_sq_m
10,https://housinganywhere.com/room/ut1482950/gb/London/blenheim-gardens?categories=studio-for-rent%2Capartment-for-rent,"Blenheim Gardens, London",1427,357,now,1427,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished studios!

Our houses offer a budget-friendly way to experience London and meet other travelers. Whether you're a working holidaymaker, student, group of friends, or solo adventurer, there's room for you.

All rooms have:
* Fresh linen supplied
* Wardrobes
* Wooden floors
 
All houses have:
* Modern kitchens are fully equipped with toasters, kettles, pots & pans, cookers, and fridges...",17.0
11,https://housinganywhere.com/room/ut1355780/gb/London/olympic-way?categories=studio-for-rent%2Capartment-for-rent,"Olympic Way, London",1995,499,now,2493,6 months,Furnished,Long term,Apartment,1.0,2.0,"Rent Breakdown 
*** 12+ months - 1795 GBP***
*** 10-11 months - 1975m GBP ***
*** 6-9 months - 2244 GBP ***
*** 3-5 months - 2423 GBP ***


Modern living, reinvented. Experience our all-in-one living concept with a studio apartment in Wembley Park.

Our location boasts beautifully designed flats with state-of-the-art amenities, ideal for a vibrant community of young professionals.

The interiors has been carefully curated with high quality furniture and appliances, with the kitchens coming full...",41.0
12,https://housinganywhere.com/room/ut1483172/gb/London/anson-road?categories=studio-for-rent%2Capartment-for-rent,"Anson Road, London",1448,362,now,1448,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished studios!

Brand new studio with a big bay window. Stay warm and comfortable with central heating. Only 5-minutes away from the tube and 4 minutes from shops!

Our houses offer a budget-friendly way to experience London and meet other travelers. Whether you're a working holidaymaker, student, group of friends, or solo adventurer, there's room for you.

All rooms have:
* Fresh linen s...",17.0
13,https://housinganywhere.com/room/ut1482604/gb/London/st-pauls-avenue?categories=studio-for-rent%2Capartment-for-rent,"St Pauls Avenue, London",1424,356,now,1424,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Unwind in Your Double Oasis: City Steps Away in Tree-Lined Willesden Green!

Escape to your own tranquil haven in this comfortable double studio, tucked away on a picturesque tree-lined street in Willesden Green. With the tube station mere steps away, connecting you effortlessly to all corners of London, this bright and inviting space offers the perfect blend of peace and convenience.

🔸For bookings less than 6 months, we charge an a...",18.0
14,https://housinganywhere.com/room/ut1459033/gb/London/anson-road?categories=studio-for-rent%2Capartment-for-rent,"Anson Road, London",1548,387,now,1350,3 months,Furnished,Long term,Apartment,1.0,2.0,"Introducing Our Exquisite New Unit in a Charming House - Only a Swift 10-Minute Stroll to Tube Zone 2 and a Convenient 5-Minute Amble to Nearby Shops!

Elevate your living experience with the debut of our latest addition - a stylish unit nestled within the heart of a delightful house. This meticulously crafted space seamlessly combines contemporary flair with practical functionality, ensuring a delightful and comfortable stay for our esteemed guests.

Picture yourself stepping into modern comfo...",17.0
15,https://housinganywhere.com/room/ut1459458/gb/London/james-avenue?categories=studio-for-rent%2Capartment-for-rent,"James Avenue, London",1548,387,now,1350,3 months,Furnished,Long term,Apartment,1.0,2.0,"Introducing Our Light-Filled Unit with a Grand Bay Window – a Radiant Oasis in a Charming House, Just a 10-Minute Stroll to Tube Zone 2 and a Swift 5-Minute Walk to Nearby Shops!

Bask in the abundant natural light that graces our delightful unit, adorned with a generously sized bay window. Set within a charming house, this bright and inviting space is thoughtfully designed for those who appreciate the beauty of a sunlit living area.

Convenience is at your fingertips, with a leisurely 10-minut...",17.0
16,https://housinganywhere.com/room/ut1483199/gb/London/james-avenue?categories=studio-for-rent%2Capartment-for-rent,"James Avenue, London",1158,290,now,1158,3 months,Furnished,Long term,Apartment,1.0,1.0,"Presenting Our Desirable Unit with a Private Patio in a Lovely House – Bright and Airy with Central Heating, Double Bedroom with Patio Doors. Just a 10-Minute Stroll to Tube Zone 2 and a Convenient 5-Minute Walk to Shops. Excitingly, Council Tax is Included in the Rent!

Experience the allure of our distinct unit, featuring its own private patio, abundant natural light, and the comfort of central heating. Enjoy the spacious double bedroom with patio doors that open up to your private outdoor spa...",17.0
17,https://housinganywhere.com/room/ut1447400/gb/London/highgate-hill?categories=studio-for-rent%2Capartment-for-rent,"Highgate Hill, London",2295,574,now,2868,6 months,Furnished,Long term,Apartment,1.0,2.0,"Rent Breakdown 
*** 12+ months - 2150 GBP***
*** 10-11 months - 2365 GBP ***
*** 6-9 months - 2688 GBP ***
*** 3-5 months - 2903 GBP ***

This one-bedroom apartment is situated in of our  All-in-One membership tier, co living London properties and comes fully furnished and functional, with its own beautifully designed private lounge, kitchen, and bathroom. Household appliances such as a dishwasher, washing machine and dryer are fitted in the kitchen. High-speed WIFI is included to offer maximum ...",46.0
18,https://housinganywhere.com/room/ut1483409/gb/London/anson-road?categories=studio-for-rent%2Capartment-for-rent,"Anson Road, London",1165,291,now,1165,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished studios!

Our houses offer a budget-friendly way to experience London and meet other travelers. Whether you're a working holidaymaker, student, group of friends, or solo adventurer, there's room for you.

All rooms have:
* Fresh linen supplied
* Wardrobes
* Wooden floors
 
All houses have:
* Modern kitchens are fully equipped with toasters, kettles, pots & pans, cookers, and fridges...",17.0
19,https://housinganywhere.com/room/ut1459264/gb/London/cranhurst-road?categories=studio-for-rent%2Capartment-for-rent,"Cranhurst Road, London",1165,291,now,1165,3 months,Furnished,Long term,Apartment,1.0,2.0,"Indulge in the Comforts of Our Double Studio, Featuring Electric Heating, Tucked Away in the Back House with a Shared Patio Oasis. Just a 7-Minute Stroll to the Tube, 4 Minutes to Nearby Shops, and Convenient Access to Bus Stops!

Escape to our inviting Double Studio, where electric heating ensures a warm and cozy ambiance for your stay. Nestled in the tranquility of the back house, this space offers a private retreat complemented by a shared patio oasis.

Convenience is at your doorstep, with ...",17.0
20,https://housinganywhere.com/room/ut1478988/gb/Dartford/morris-walk?categories=studio-for-rent%2Capartment-for-rent,"Morris Walk, London",2650,662,now,2650,GBP 0,Furnished,Long term,Apartment,2.0,2.0,"Bright spacious 2 bedroom ground floor flat in the popular Bridge development Dartford. A nice quiet development with lots of nice gardens, playground for kids, beautiful grounds, a lake and parks for nice evening walks. Very clean modern flat equipped with everything you need for a relaxing stay.
The flat has 2 large bedrooms, open plan living room, fully equipped kitchen, modern bathroom & an ensuite room.  The kitchen has a breakfast bar with chairs. The living room has a two sofas and one is...",899.0
21,https://housinganywhere.com/room/ut1459466/gb/London/park-avenue?categories=studio-for-rent%2Capartment-for-rent,"Park Avenue, London",1212,303,now,1212,3 months,Furnished,Long term,Apartment,1.0,1.0,"DB STUDIO , WITH GARDEN VERY SECUDED AT BACK OF THE HOUSE  UNIT 5 MIN TUBE 4 MIN BUS AND SHOPS 

Experience Fully Furnished Comfort – Just a 5-Minute Stroll to the Supermarket and Willesden Green Tube Station in Zone 2. All-Inclusive Rent with Power Included, and Excitingly, Council Tax is Covered Too!

Step into a fully finished haven where comfort meets convenience. This well-appointed space offers a hassle-free living experience, complete with furnishings to meet your needs. Whether it's a q...",17.0
22,https://housinganywhere.com/room/ut1484295/gb/London/westferry-road?categories=studio-for-rent%2Capartment-for-rent,"Westferry Road, London",2196,549,now,10980,1 month,Furnished,Long term,Apartment,1.0,2.0,"Welcome to this stylish and conveniently located 1-bedroom flat in the heart of London, just a short 10-minute stroll from Canary Wharf Station. Perfectly situated for professionals working in the major financial districts, this property offers unparalleled access to the big four banks and key business hubs in London.

This fully furnished apartment boasts a modern and comfortable living space, complete with a TV for your entertainment needs. The rental package includes all bills, providing you ...",600.0
23,https://housinganywhere.com/room/ut1478893/gb/London/clapham-common-west-side?categories=studio-for-rent%2Capartment-for-rent,"Clapham Common West Side, London",2320,580,now,13920,3 months,Furnished,Long term,Apartment,1.0,2.0,"Please note, that for all bookings up to 179 days, upfront payment will be required. For bookings over 6 months, monthly installments will be arranged. 

Step into our vibrant and colourful studio flat, a hidden gem nestled in the lively neighbourhood of Clapham Common. Ideal for solo adventurers or couples, this cosy retreat promises a memorable stay amidst a kaleidoscope of colours and modern comforts.

The flat comprises a tastefully designed bedroom, a sleek bathroom, and a welcoming livin...",1.0
24,https://housinganywhere.com/room/ut1459057/gb/London/anson-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Anson Road, London",1260,315,now,1100,3 months,Furnished,Long term,Apartment,1.0,1.0,"Discover Our Double Studio Oasis – A Secluded Haven with a Private Garden, Tucked Away at the Back of the House, Just a 5-Minute Stroll to the Tube, 4 Minutes to Bus Stops, and Nearby Shops!

Unveil a hidden gem within our offerings – the Double Studio with a private garden, providing an exclusive and secluded retreat at the back of the house. This tranquil space is meticulously designed for your comfort and privacy, creating a unique haven for your stay.

Step into a world of serenity as you e...",17.0
25,https://housinganywhere.com/room/ut1482582/gb/London/chatsworth-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Chatsworth Road, London",1265,316,now,1265,3 months,Furnished,Long term,House,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished private studio apartments!

Step into your brand new sanctuary nestled at the back of the house, a haven of peace and comfort just a 10-minute walk from Willesden Green tube station (Zone 2). Escape the city buzz yet stay effortlessly connected in this modern retreat, ready to be your vibrant London base.

🔸For bookings less than 6 months, we charge an additional short-term booking...",18.0
26,https://housinganywhere.com/room/ut1483938/gb/London/chatsworth-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Chatsworth Road, London",1270,318,now,1270,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished studios!

Newly renovated and close to tube zone 2. This studio comes fully furnished including linen, pots, pans, a TV, and a refrigerator. Council tax is included and you only need to pay for electricity.

Our houses offer a budget-friendly way to experience London and meet other travelers. Whether you're a working holidaymaker, student, group of friends, or solo adventurer, there...",17.0
27,https://housinganywhere.com/room/ut1471864/gb/Wembley/oakington-manor-drive?categories=studio-for-rent%2Capartment-for-rent&page=2,"Oakington Manor Drive, London",2500,625,now,200,1 month,Furnished,Long term,Apartment,1.0,2.0,"Step into the modern comfort of our inviting apartment located at 89 Oakington Manor Drive, HA9 6LX – your ultimate haven for contractors, families, and friends. Embrace the warmth of our hospitality as you experience a seamless blend of convenience and relaxation.

Discover the unparalleled accessibility with an approximate 1-minute drive to the motorway, ensuring that you're always connected to your next adventure. Just a 4-minute drive from Waverley Avenue (Stop SK) train station, your journe...",28.0
28,https://housinganywhere.com/room/ut1482938/gb/London/anson-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Anson Road, London",1348,337,now,1348,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished studios!

Brand new studio with a big bay window. Stay warm and comfortable with central heating. Only 5-minutes away from the tube and 4 minutes from shops!

Our houses offer a budget-friendly way to experience London and meet other travelers. Whether you're a working holidaymaker, student, group of friends, or solo adventurer, there's room for you.

All rooms have:
* Fresh linen s...",17.0
29,https://housinganywhere.com/room/ut1378513/gb/London/highgate-hill?categories=studio-for-rent%2Capartment-for-rent&page=2,"Highgate Hill, London",2495,624,now,3118,6 months,Furnished,Long term,Apartment,1.0,2.0,"Rent Breakdown 
*** 12+ months - 2250 GBP***
*** 10-11 months - 2475 GBP ***
*** 6-9 months - 2813 GBP ***
*** 3-5 months - 3038 GBP ***

This one-bedroom apartment is situated in of our  All-in-One membership tier, co living London properties and comes fully furnished and functional, with its own beautifully designed private lounge, kitchen, and bathroom. Household appliances such as a dishwasher, washing machine and dryer are fitted in the kitchen. High-speed WIFI is included to offer maximum ...",46.0
30,https://housinganywhere.com/room/ut1483071/gb/London/ash-grove?categories=studio-for-rent%2Capartment-for-rent&page=2,"Ash Grove, London",1370,342,now,1370,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished studios!

Double bed studio or possibility of twin available for your convenience. Only 2 min to the bus or shops! 10 min walk away from the tube or 5 min to over line.

Our houses offer a budget-friendly way to experience London and meet other travelers. Whether you're a working holidaymaker, student, group of friends, or solo adventurer, there's room for you.

All rooms have:
* Fr...",17.0
31,https://housinganywhere.com/room/ut1459145/gb/London/chatsworth-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Chatsworth Road, London",1365,341,now,1200,3 months,Furnished,Long term,Apartment,1.0,2.0,"Discover the Charm of Our Double Studio – Nestled at the Top of a Spacious Victorian House, Pet-Friendly, Just a 5-Minute Stroll to Kilburn Tube Station (Zone Two), and Conveniently Close to Shops and Bus Stops!

Indulge in the unique atmosphere of our Double Studio, situated atop a grand Victorian house, offering both character and comfort. This pet-friendly haven welcomes furry companions, ensuring a homey atmosphere for all.

Enjoy the convenience of a short 5-minute walk to Kilburn Tube Stat...",17.0
32,https://housinganywhere.com/room/ut1459289/gb/London/high-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"High Road, London",1348,337,now,1348,3 months,Furnished,Long term,Apartment,1.0,2.0,"Discover Our Brand-New Unit in a Charming House – Just a 10-Minute Stroll to Tube Zone 2 and a Quick 5-Minute Walk to Nearby Shops!

Indulge in the charm of our newly introduced unit, nestled within a delightful house. Immerse yourself in modern comfort, strategically located just a 10-minute walk from the nearby tube station in Zone 2. Whether you're looking to explore the city or unwind, the convenient access ensures an enjoyable stay.

Additionally, shops are a mere 5-minute walk away, provid...",17.0
33,https://housinganywhere.com/room/ut1477490/gb/London/chiswick-high-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Chiswick High Road, London",2426,606,now,14556,3 months,Furnished,Long term,Apartment,1.0,2.0,"Please note, that for all bookings up to 179 days, upfront payment will be required. For bookings over 6 months, monthly installments will be arranged. 

This one bedroom apartment is situated in the idyllic area of Chiswick just minutes from the local cafes and restaurants. The property is also just a 3 minute walk from Gunnersbury Station making this property the perfect location for your stay in London.

Located on the third floor, this apartment can comfortably accommodate up to 2 people. ...",44.0
34,https://housinganywhere.com/room/ut1482606/gb/London/st-pauls-avenue?categories=studio-for-rent%2Capartment-for-rent&page=2,"St Pauls Avenue, London",1372,343,now,16464,6 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Top-Floor Studio with Big Views & Easy Living!

Imagine waking up to sunshine streaming through your expansive window, revealing breathtaking cityscapes from your tranquil top-floor retreat. This double bedroom studio offers the perfect blend of peace and convenience in the heart of vibrant Willesden Green (Zone 2, Jubilee Line).

Escape the city buzz in your quiet haven, tucked away on the top floor, yet steps from the tube for effor...",18.0
35,https://housinganywhere.com/room/ut1438626/gb/London/portnall-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Portnall Road, London",1645,411,now,1570,3 months,Furnished,Long term,Apartment,1.0,1.0,"The accommodation:

Step into a delightful 17.5-square-meter studio that offers a cozy living space with everything you need. This studio features a comfortable double bed, ensuring a restful night's sleep. An extendable dining table allows for versatile use, whether it's for dining, work, or simply extra space.

The studio includes a wardrobe and a dresser for organized storage, a private kitchenette for convenient meal preparation, and a private bathroom with a shower, enhancing your privacy a...",17.0
36,https://housinganywhere.com/room/ut1482952/gb/London/blenheim-gardens?categories=studio-for-rent%2Capartment-for-rent&page=2,"Blenheim Gardens, London",1427,357,now,1427,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished studios!

Newly renovated and close to tube zone 2. This studio comes fully furnished including linen, pots, pans, a TV, and a refrigerator. Council tax is included and you only need to pay for electricity.

Our houses offer a budget-friendly way to experience London and meet other travelers. Whether you're a working holidaymaker, student, group of friends, or solo adventurer, there...",17.0
37,https://housinganywhere.com/room/ut1470039/gb/London/packington-street?categories=studio-for-rent%2Capartment-for-rent&page=2,"Packington Street, London",2510,628,now,15060,3 months,Furnished,Long term,Apartment,1.0,2.0,"Please note, that for all bookings up to 179 days, upfront payment will be required. For bookings over 6 months, monthly installments will be arranged. 

This studio apartment is situated in the idyllic area of Angel. Located on the third floor, this beautiful Central London flat can comfortably accommodate up to two people. The smoke-free property features a bedroom a bathroom, a kitchen, and a balcony.

**DISCLAIMER - The building is undergoing refurbishment work and will have scaffolding un...",39.0
38,https://housinganywhere.com/room/ut1482738/gb/London/chichele-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Chichele Road, London",1162,290,now,1100,3 months,Furnished,Long term,Apartment,1.0,2.0,"Your Ideal Central London Studio!

explore the convenience of our central London studios, situated next to the tube for easy commuting. Each studio offers approximately 17.5m2 of space (please note that this is an estimate).

For bookings less than 6 months, a short-term booking fee equivalent to 1 week's rent will be applied, payable with the first month's rent for a seamless start to your stay.

Inclusive utilities make your life easier. Water, WiFi, and council tax are all covered under the m...",17.0
39,https://housinganywhere.com/room/ut1483591/gb/London/anson-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Anson Road, London",1423,356,now,1422,3 months,Furnished,Long term,Apartment,1.0,2.0,"Your Ideal Central London Studio!
Explore the convenience of our central London studios, situated next to the tube for easy co
mmuting. Each studio offers approximately 17.5m2 of space (please note that this is an estimate).

For bookings less than 6 months, a short-term booking fee equivalent to 1 week's rent will be applied, payable with the first month's rent for a seamless start to your stay.

Inclusive utilities make your life easier. Water, WiFi, and council tax are all covered under the m...",17.0
40,https://housinganywhere.com/room/ut1470068/gb/London/north-hill?categories=studio-for-rent%2Capartment-for-rent&page=2,"North Hill, London",2510,628,now,15060,3 months,Furnished,Long term,Apartment,1.0,2.0,"Please note, that for all bookings up to 179 days, upfront payment will be required. For bookings over 6 months, monthly installments will be arranged. 

This one-bedroom apartment is situated in the idyllic area of North London. The property is also just 0.5 miles from Highgate Station, making this property the perfect location for your stay in London.

Located on the first floor, this beautiful North London flat can comfortably accommodate up to 4 people. The smoke-free property features a l...",41.0
41,https://housinganywhere.com/room/ut1482600/gb/London/portnall-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Portnall Road, London",1054,264,now,1054,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished private studio apartments!

Nestled on a charming tree-lined street, this cozy studio is your gateway to urban convenience and peaceful living. Just a hop and skip from Queens Park tube station (Zone 2, Jubilee Line), you'll have the city at your fingertips while enjoying the tranquility of your serene haven.

🔸For bookings less than 6 months, we charge an additional short-term boo...",18.0
42,https://housinganywhere.com/room/ut1483220/gb/London/anson-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Anson Road, London",1475,369,now,1475,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished studios!

Brand new studio with a big bay window. Stay warm and comfortable with central heating. Only 5-minutes away from the tube and 4 minutes from shops!

Our houses offer a budget-friendly way to experience London and meet other travelers. Whether you're a working holidaymaker, student, group of friends, or solo adventurer, there's room for you.

All rooms have:
* Fresh linen s...",17.0
43,https://housinganywhere.com/room/ut1459034/gb/London/anson-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Anson Road, London",1522,380,now,1350,3 months,Furnished,Long term,Apartment,1.0,2.0,"Unveiling Our Latest Gem: A State-of-the-Art Double Studio with Central Heating - A Brand-New Unit Offering Unparalleled Comfort and Convenience!

Step into the future of accommodation with our newest addition - a contemporary Double Studio that sets a new standard for modern living. This brand-new unit is designed to impress, boasting cutting-edge amenities and a sleek aesthetic that combines style and functionality seamlessly.

Indulge in the luxury of central heating, ensuring a cozy and welc...",17.0
44,https://housinganywhere.com/room/ut1482965/gb/London/park-avenue?categories=studio-for-rent%2Capartment-for-rent&page=2,"Park Avenue, London",1266,316,now,1266,3 months,Furnished,Long term,Apartment,1.0,2.0,"DB STUDIO , 2 MIN BUS & SHOPS 10 MIN WALK TUBE , SIDE ENTRANCE .
Experience Fully Furnished Comfort – Just a 5-Minute Stroll to the Supermarket and Willesden Green Tube Station in Zone 2. All-Inclusive Rent with Power Included, and Excitingly, Council Tax is Covered Too!

Step into a fully finished haven where comfort meets convenience. This well-appointed space offers a hassle-free living experience, complete with furnishings to meet your needs. Whether it's a quick trip to the supermarket or a...",17.0
45,https://housinganywhere.com/room/ut1481342/gb/London/john-williams-close?categories=studio-for-rent%2Capartment-for-rent&page=2,"John Williams Close, London",2000,500,now,0,1 month,Furnished,Long term,Apartment,1.0,1.0,"Newly refurbished gnd floor studio flat. Comprising of a fully fitted kitchen, a full bathroom, cosy living & sleeping area, laminate flooring, newly decorated & in excellent condition. This is for the whole flat, you don't share any facilities apart from the communal garden. Located within easy reach of New Cross Gate (8 mins walk), New Cross, and Surrey Quays Stations on the Overground for easy access into the City Centre and surrounds. Nearby all amenities. Sleeps 2. Free off-street parking.
...",30.0
46,https://housinganywhere.com/room/ut1469990/gb/London/christchurch-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Christchurch Road, London",2637,659,now,15822,3 months,Furnished,Long term,Apartment,1.0,2.0,"Please note, that for all bookings up to 179 days, upfront payment will be required. For bookings over 6 months, monthly installments will be arranged. 

This one bedroom is situated in the idyllic area of South West London.  The property is also just  0.7 miles from Tulse Hill Underground Station making this property the perfect location for your stay in London.

Located on the first floor, this beautiful South West London flat can comfortably accommodate up to four people. The smoke-free pro...",34.0
47,https://housinganywhere.com/room/ut1482501/gb/London/knollys-road?categories=studio-for-rent%2Capartment-for-rent&page=2,"Knollys Road, London",2125,531,now,500,7 months,Furnished,Long term,Apartment,1.0,1.0,"This one bedroom is situated in the area of South West London. The property is also just 0.5 miles from Tulse Hill Underground Station making this property the perfect location for your stay in London.

Located on the first floor, this beautiful  flat can comfortably accommodate up to 2 people. The smoke-free property features a living room, one bedroom, one bathroom, and a kitchen.

The living room is equipped with a comfortable sofa, a dining table and a TV. The kitchen is fully equipped with ...",50.0
