,address,price_per_month,price_per_week,let_available_date,deposit,min_tenancy,furnish_type,let_type,house_type,bedrooms,bathrooms,dimensions,description
https://www.rightmove.co.uk/properties/86773575#/?channel=RES_LET,"Bale & Anchor, Conington Road, SE13","£2,250 pcm",£519 pw,Now,Ask agent,Ask agent,Ask agent,Furnished,Flat,1,1,Ask agent,"This beautiful 1 bedroom apartment comes furnished with a bespoke furniture package, and boasts an open-plan living/kitchen/dining area with a private balcony. The kitchen is fully fitted with appliances including induction hob, fridge/freezer, dishwasher and the utility cupboard has an 8kg washer/dryer. The apartment benefits from floor-to- ceiling windows allowing plenty of natural daylight, built-in wardrobes with mirrors and 3 piece bathroom suite with storage.

Located next to Lewisham Station and running alongside Ravensbourne River, life at Bale & Anchor is about people connecting to create something new, valuable and lasting. Our stylish range of studio, 1, 2 and 3 bedroom apartments to rent help bring together a unique community with everything you could wish for.

We know you’ll feel right at home straight away, Bale & Anchor offers you the chance to move in with your furry friend (T&Cs apply) enjoy flexible contracts, no letting fees, free and fast broadband, the freedom to decorate and a friendly 24/7 on-site team as standard.

You will also be able to enjoy exclusive access to Ampersand, located on the 34th and 35th floor and home to many of our amazing amenities which boasts panoramic views over London and beyond. Live the high life with elegant spaces to relax, work and play. You will have access to our hi-tech gym, yoga studio, private dining room and games lounge as well as a host of other facilities which will be ready to use in 2024.

It's all part of the unique community at Bale & Anchor. Interested? Get in touch now to arrange a tour.

* Available for student let"
https://www.rightmove.co.uk/properties/86773344#/?channel=RES_LET,"Station Road, London, SE13","£2,400 pcm",£554 pw,06/03/2024,"£2,400",Ask agent,Furnished,Long term,Apartment,2,2,Ask agent,"Professional landlord FIZZY LIVING is excited to present this amazing apartment in FIZZY LEWISHAM. Located right next to the DLR and national rail station, Fizzy Lewisham is situated in one of the best locations in Lewisham.

Location:
- 11 minutes to London Bridge
- 12 minutes to Waterloo
- 16 minutes to Charing Cross
- 16 minutes to Canary Wharf

Fizzy Lewisham apartments are finished to a high specification with floor to ceiling windows throughout. Kitchens are fully integrated with high-quality appliances including a dishwasher, microwave, induction hob, oven and grill, and fridge and freezer, with a washing and dryer machine tucked away in a separate large storage cupboard. Most apartments in the building come with a private balcony & others with a unique Juliet balcony.

The master bedroom includes a large in-built wardrobe and TV point. All 2 bed apartments come with 2 bathrooms, one being an en-suite in the master bedroom.

Key features exclusive to Fizzy Lewisham:
- Private rooftop terrace on the 15th floor with stunning views of London skyline / Canary
Wharf
- Stylish furniture packages
- Free superfast fibre optic broadband from the UK's leading provider

Fizzy Living is a professional and independent landlord. Rent DIRECTLY from Fizzy to cut out the agency fuss and fees, and benefit from a great range of services not usually available in rented accommodation. Our recent customer satisfaction survey has proven that the Fizzy Perks we offer have become essentials to our residents. This includes a strong community with invites to exclusive parties and events, including rooftop yoga.

*This unit is available with Flatfair's No Deposit solution, so you won't have to pay a security deposit. Instead, you would pay a small check-in fee of £350 (inc. VAT) - significantly less than a five-week deposit. This fee is non-refundable and is not a deposit so cannot be used towards covering the cost of any future damages that might occur.

Fizzy offers Assured Shorthold Tenancy Agreements with a minimum 12 month term. We believe renters deserve a better deal - Fizzy is a Landlord you can trust.

*In order to rent an apartment with us, you will need to pass affordability checks. The annual joint household income must be at least 2.66 times the annual rent. Should a household not pass the affordability criteria, we do accept UK based guarantors however they too will be subject to referencing and household income for your guarantor must be 4 times the rent. If this is not possible, we will ask for 12 months' rent to be paid in advance.

ENERGY EFFICIENT RATING BAND B

*Images and floorplans used are for illustrative purposes only. Individual apartment sizes, features, furniture and layouts may vary."
https://www.rightmove.co.uk/properties/86773458#/?channel=RES_LET,"Colwith Road, Hammersmith, London, W6","£2,300 pcm",£531 pw,Now,Ask agent,Ask agent,"Furnished or unfurnished, landlord is flexible",Long term,Apartment,2,1,Ask agent,"A stunning newly refurbished two double bedroom ground floor garden flat located within the much sought after Crabtree Conservation Area. The flat comprises two generous double bedrooms, a bright and airy living room, a stylish modern fully fitted kitchen, a modern bathroom which features a shower over bath and a secluded private garden. The flat also benefits from excellent storage. Colwith Road is a highly desired position within Hammersmith being a stone’s throw from the River Thames towpath and within a 7 – 8 minute walk to Hammersmith Broadway. The flat will be shown unfurnished with an option to semi-furnished. Available NOW.

Council Tax 2023/24 BAND D (London Borough of Hammersmith & Fulham)
EPC BAND D"
https://www.rightmove.co.uk/properties/144910625#/?channel=RES_LET,"Busby Place, London, NW5","£1,750 pcm",£404 pw,09/03/2024,"£2,020",12 months,Furnished,Long term,End of Terrace,1,1,Ask agent,"We are delighted to present this charming 1 bedroom end of terrace property located just moments away from the prestigious Camden School for Girls and College Français Bilingue de Londres. Situated on the 2nd floor, this well-appointed home boasts one reception room, offering a comfortable living space for residents. The property is quietly positioned, providing a tranquil retreat, yet is conveniently placed to benefit from the nearby local amenities and excellent transport links, ensuring ease of access to the rest of London and beyond.

The accommodation comprises of one generous bedroom, creating a peaceful sanctuary for relaxation. This lovely property is available for immediate occupancy, ideal for those seeking a cosy and conveniently located residence in the vibrant area of Camden. Contact us today to arrange a viewing and secure this attractive property for yourself."
https://www.rightmove.co.uk/properties/86773410#/?channel=RES_LET,"Marlborough Road, Dagenham, RM8","£2,200 pcm",£508 pw,Now,"£2,538",Ask agent,Unfurnished,Long term,Terraced,3,1,"700 sq ft
65 sq m","NEWLY REFURBISHED 3-Bedroom House with a DRIVEWAY on Marlborough Road, RM8 boasting two receptions and a good-sized garden. With multiple schools and amenities nearby, this makes for a suitable family home.

OFF-STREET PARKING INCLUDED

Located close by to Porters Avenue & Wood Lane, you are well connected with the A13 & multiple transport links taking you into the City via the Underground Lines, as well as an array of schools within walking distance and lovely open green spaces of Parsloes Park.



Holding Deposit: £507.69"
https://www.rightmove.co.uk/properties/86773407#/?channel=RES_LET,"Earls Court Square, London","£7,999 pcm","£1,846 pw",13/03/2024,"£11,076",Ask agent,Furnished,Long term,Flat,2,2,Ask agent,"Exquisite penthouse apartment spanning over the top two floors of a period building on Earls Court Square. The property benefits from direct lift access, two spacious bedrooms both complete with expansive dressing rooms and two impeccably designed bathrooms. The Kitchen is sleekly designed and furnished with a large breakfast/dining table. The spacious reception room is well equipped for entertaining featuring a built in bar, and access to your own private terrace. This unique property is conveniently connected to Earl’s Court Station and local amenities."
https://www.rightmove.co.uk/properties/86992904#/?channel=RES_LET,Heath Park Road - Gidea Park - RM2,"£2,500 pcm",£577 pw,07/03/2024,"£2,885",Ask agent,Unfurnished,Long term,Semi-Detached,4,1,Ask agent,"Beautiful four bedroom family home situated on Heath Park Road, Gidea Park. This stunning property benefits from two large reception rooms, a kitchen/diner to the rear and a downstairs cloakroom to the ground floor. To the first floor you have two double bedrooms, one single and a large family bathroom. The property has also had a loft conversion providing an extra double bedroom. Externally there is a beautiful rear garden with large summer house at the end and to the front of the property there are two off-street parking spaces. This property is available in October, internal photos to follow.

This property is available with a Deposit Free option which means that instead of paying a traditional five weeks security deposit, you pay a fee of one weeks rent + VAT (subject to a minimum of £120 + VAT) to become a member of a deposit free renting scheme which significantly reduces the up-front costs. This fee is non-refundable and is not a deposit so cannot be used towards covering the cost of any future damage."
https://www.rightmove.co.uk/properties/100862099#/?channel=RES_LET,"Leabank Square, London, E9","£2,500 pcm",£577 pw,Ask agent,Ask agent,Ask agent,Unfurnished,Long term,Town House,3,Ask agent,Ask Agent,"We are pleased to offer for rent this large 3 double bedroom townhouse set in a secure gated development with allocated parking. Renovated though out. Fully fitted modern kitchen, luxury bathroom and ensuite shower room to main bedroom. Large garden available 20/03/2024."
https://www.rightmove.co.uk/properties/86773347#/?channel=RES_LET,"Luke House, Abbey Orchard Street, Westminster, London SW1","£4,745 pcm","£1,095 pw",Now,"£5,475",Ask agent,"Furnished or unfurnished, landlord is flexible",Long term,Flat,2,2,Ask agent,"This large 957 sq. ft (89 sq. m) bright and spacious two-bedroom apartment is on the seventh (top) floor and is located in the heart of Victoria and close to St. James's Park.

The apartment has large bright bedrooms with a spacious reception area, plenty of storage space, fully fitted kitchen and two modern bathrooms. The apartment comes with free wifi and is set up for a Sky subscription.

Luke House offers an excellent variety of 30 newly refurbished studio, one and two-bedroom apartments, situated on the upper floors of this purpose-built development building, offering flexible accommodation to suit all requirements. The building has a dedicated building manager, secure underground parking, wifi, laundry room and lift service.

There is an abundance of local amenities including a variety of stores along Victoria Street with the Curzon Cinema and many restaurants including the Ivy Bar and Grill and Yaatra based in the Old Westminster Fire Station. The transport links of St James's Park, Westminster and Victoria (Gatwick Express)are all within walking distance."
https://www.rightmove.co.uk/properties/86773326#/?channel=RES_LET,"St Pauls Place, Islington, N1","£7,500 pcm","£1,731 pw",03/04/2024,"£8,654",6 months,Part furnished,Long term,Terraced,3,2,"2,128 sq ft
198 sq m","Finished to an excellent standard throughout and presented in immaculate condition, this large three bedroom Grade II listed house with a 55ft South East facing garden is set on one of Canonburys most desired roads with easy access to Canonbury overground and Highbury & Islington stations.

This beautiful house is arranged over four floors and offers plenty of natural light and many character features with accommodation comprising a large double reception room to the raised ground floor with doors opening onto a balcony. To the lower ground floor is a contemporary fitted kitchen which leads into a sitting area and with adjacent dining room providing great entertainment space; this in turn opens onto the large sunny private rear garden. Further benefits from a separate study which is ideal if working from home and ample storage plus a separate W.C. To the first and second floors are three double sized bedrooms; master bedroom provides access to a four piece fitted bathroom plus further second bathroom to the top floor of the house. The property retains many original character features to include strip wood floors, high ceilings, sash windows and cast iron feature fireplaces.

St. Pauls Place is a quiet and leafy street nestled between Canonbury & Newington Green which provides access to Canonbury overground station and Essex Road including Highbury & Islington station which is also within easy reach including the many amenities of Newington Green plus the open spaces of Highbury Fields and Clissold Park. Available early July, furnished or part furnished.

Quick viewing is highly recommended.

Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat ()"
https://www.rightmove.co.uk/properties/86773332#/?channel=RES_LET,"Holland Gardens, Brentford, TW8","£3,500 pcm",£808 pw,Now,Ask agent,12 months,Unfurnished,Long term,Flat,3,2,"1,107 sq ft
103 sq m","VIDEO TOUR AVAILABLE. This fully refurbished upper floor apartment has been appointed throughout with the utmost attention to detail, creating accommodation of the highest specifications and superior contemporary presentation.

The reception room is of spacious dimensions with stylishly designed doors leading to one of three terraces. The modern, tasteful kitchen displaying an abundance of sophisticated flair, leads to a further terraced area. Each of the three bedrooms is furnished with integral wardrobes and the luxurious master bedroom has the addition of a sumptuous en-suite, offering a relaxing, indulgent retreat.

Made-to measure blinds have been fitted to dress the windows.

The clever use of tasteful, interior design and modern technology give the apartment a distinctive, refined harmony.

Under floor heating can be remotely controlled via a mobile app. and all floors have been laid using a specialist underlay, Versilay, which provides sound and thermal insulation.

All rooms have power sockets with USB ports.

There is underground parking for one car; leisure facilities including a gymnasium, sauna, steam room, Jacuzzi and a 24 hour concierge service.

Offered furnished or unfurnished.

Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat ()"
https://www.rightmove.co.uk/properties/86773284#/?channel=RES_LET,"Island Row, E14","£2,095 pcm",£483 pw,Ask agent,"£2,417",Ask agent,Furnished,Long term,Apartment,2,2,Ask agent,"Hurford Salvi Carr are favoured to market this newly refurbished and immaculately presented two double bedroom apartment in the heart of Limehouse E14, with views over the scenic Limehouse Cut.

Commercial Wharf, Island Row, is a secure development located just off the Limehouse Basin, and a short walk to Narrow Street. This second floor flat has a sunny southerly aspect from the private balcony, two updated bathrooms (One being en-suite), a separate modern fitted kitchen, and secure underground parking

Limehouse DLR is the closest station, taking you into the City and Canary Wharf in less than ten minutes. The DLR also takes you into Royal Greenwich and Stratford International. You can also pick up the C2C at Limehouse, which goes into Fenchruch Street, and the Essex coast. A prompt internal viewing is highly recommended - Available 10th May"
https://www.rightmove.co.uk/properties/144804668#/?channel=RES_LET,"Claverton Street, London, SW1V","£4,300 pcm",£992 pw,Ask agent,£0,Ask agent,Furnished,Long term,Maisonette,3,2,Ask agent,"A bright and spacious split level three double bedroom maisonette period conversion within a traditional, well-maintained white Stucco fronted building located in the heart of Pimlico.

The property comprises of a large open plan reception room, modern fully integrated kitchen, three double bedrooms, two bathrooms, a further study room and access to two south-west facing private terraces.

Claverton Street isd conveniently located just a stones throw from local shops, restaurants and bars of Pimlico, the River Thames & Battersea Park. The closest transport links are Pimlico (Victoria line) and Victoria Station (Victoria, District & Circle lines, mainline station and Gatwick Express).

EPC Rating: C"
https://www.rightmove.co.uk/properties/86773260#/?channel=RES_LET,"Ashley Road, London, N17","£2,100 pcm",£485 pw,Ask agent,Ask agent,Ask agent,Furnished,Long term,Flat,1,1,"580 sq ft
54 sq m","Discover the convenience of city living with this prime location just a 2-minute walk from Tottenham Hale Station. Ideal for commuters, the proximity to transportation makes reaching central London a breeze.

This brand new apartment has never been lived in before, providing a fresh and modern living experience.

Fitness enthusiasts will appreciate the 24-hour gym nearby, while coffee lovers can indulge in their daily dose at Starbucks, just a 1-minute walk away.

Seize the opportunity to make this stylish and well-connected flat your new home. Contact Flagstones today to arrange a viewing. Don't miss out on the chance to elevate your living experience!"
https://www.rightmove.co.uk/properties/143383451#/?channel=RES_LET,"Paragon Square, London, WC1X","£4,300 pcm",£992 pw,Ask agent,Ask agent,Ask agent,Ask agent,Furnished,Flat,3,2,"1,074 sq ft
100 sq m","*Property description*
A brand-new 3 bedrooms flat extends an ample living space for 1,074.2 sq ft internal area. Wood flooring throughout with cooling and underfloor heating in each room. A fully integrated kitchen seamlessly connects with the dining area and living room, extending all the way to a spacious private balcony of 226 sq ft.

Residents can enjoy amenities including a 24-hour concierge, a communal garden, terrace, gym, studio room, treatment room, swimming pool, sauna, steam room, jacuzzi and a private cinema.

Within just 15 minutes' walk, the property is surrounded by 4 tube stations - King's Cross, Farringdon, Chancery Lane and Russell Square, enabling easy access to the City and the West End.

This flat is most suitable for families and couples. Students are welcome to enquire (expect at least 6 months' rents upfront).


*Other information*
EPC rating: B
Holding Deposit: £992.3 (1 week)
Tenancy Deposit: £5,953.85 (6 weeks)
Council: Islington, Band G"
https://www.rightmove.co.uk/properties/144937565#/?channel=RES_LET,"Chatsworth Court, Pembroke Road, Kensington W8","£3,033 pcm",£700 pw,Now,Ask agent,Ask agent,Furnished,Long term,Flat,1,1,"577 sq ft
54 sq m","We are proud to present this stunning 1 bed apartment in a Luxury Kensington Mansion Block that is inclusive of Heating and Hot Water Bills. In terms of finishing, the apartment has been finished to a high standard throughout and benefits from custom fitted storage. The property is furnished and this compliments the luxury finishing that sets it apart from others in the block making it the perfect new home. Please contact our office for more information and to arrange a viewing."
https://www.rightmove.co.uk/properties/86773227#/?channel=RES_LET,"Martello Street, London, E8","£2,400 pcm",£554 pw,Now,"£2,769",Ask agent,Unfurnished,Long term,Flat,2,1,Ask agent,"This fabulous period conversion is located within one of Hackney’s most desirable neighbourhoods – centrally positioned in the heart of London Fields with a wonderful variety of amenities on your doorstep including E5 Bakehouse and the fantastic cafes and eateries along Broadway Market and Wilton Way. Set on the first floor of this beautiful development, this stunning conversion boasts high ceilings and picturesque views of London Fields. Comprising of an open-plan kitchen/living/dining space, two double bedrooms, modern bathroom and a separate guest cloakroom. This is a perfect property for professional tenants wanting to live in a quiet yet vibrant area within easy walking distance of amenities. Excellent transport links on your doorstep including London Fields Overground less than 2 minutes away – only 9 minutes to Liverpool Street. Unfurnished. Council Tax Band C."
https://www.rightmove.co.uk/properties/86773221#/?channel=RES_LET,Kensington High Street London W14,"£4,767 pcm","£1,100 pw",Now,"£6,600",12 months,Furnished,Long term,Apartment,2,2,Ask agent,"A luxurious and spacious two bedroom flat to rent in the prestigious 375 Kensington High Street development. Arranged over the fourth floor (with lift), property comprises two double bedrooms, two bathrooms, storage room, open plan kitchen and living room and a private balcony. Other benefits include under floor heating, comfort cooling and floor to ceiling windows. The development also benefits from gym, pool, steam room, sauna, treatment rooms, cinema room and communal gardens. The property is offered part-furnished.

Parking available

NO PETS ALLOWED. To check broadband and mobile phone coverage please visit Ofcom here ofcom.org.uk/phones-telecoms-and-internet/advice-for-consumers/advice/ofcom-checker"
https://www.rightmove.co.uk/properties/86773209#/?channel=RES_LET,"Visage Apartments, Winchester Road, London, NW3","£2,708 pcm",£625 pw,15/05/2025,"£3,125",Ask agent,Furnished,Long term,Apartment,1,1,Ask agent,"Hanover are delighted to present this stunning one bedroom apartment (650 sqft / 60m2) set on the fifth floor of this sought after modern development in the heart of Swiss Cottage. The flat is located on the 5th floor and comprises an open plan kitchen/reception leading out onto a private balcony, modern bathroom and wooden flooring throughout. Visage Apartments benefits from a passenger lift and 24 concierge service. The property is located moments to Swiss Cottage underground station (Jubilee Line) and is within close proximity of Primrose Hill & Regents Park. Offered furnished. Available 15th May 2024.

Camden Council Tax Band E. Security Deposit: 5 week's rent (£3,125)."
